Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Pwf,Wkw
4.1.GR47,-29.54055,114.92773,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,47,3,13,,,
4.1.GR3,-29.54015,114.92855,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,3,3,13,,,
4.1.GR10,-29.53955,114.92865,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,10,3,13,,,
4.1.GR37,-29.5393,114.92813,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,37,3,13,,,
4.1.GR8,-29.53872,114.92846,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,8,3,13,,,
4.1.GR46,-29.53822,114.92858,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,46,3,13,,,
4.1.GR6,-29.53717,114.92865,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,6,3,13,X,,
4.1.GR39,-29.53706,114.92938,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,39,3,13,,,
4.1.GR44,-29.53792,114.92899,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,44,3,13,,,
4.1.GR36,-29.53582,114.9295,20180813,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,GR,36,3,13,,,
4.2.GR36,-29.5356,114.92935,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,36,1,13,,,
4.2.GR6,-29.53666,114.92953,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,6,1,13,,,
4.2.GR46,-29.53704,114.92934,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,46,1,13,,,
4.2.GR8,-29.53713,114.92853,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,8,1,13,,,
4.2.GR3,-29.53806,114.92857,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,3,1,13,,,
4.2.GR47,-29.53859,114.92844,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,47,1,13,,,
4.2.GR44,-29.53923,114.92834,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,44,1,13,,,
4.2.GR39,-29.53956,114.92873,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,39,1,13,,,
4.2.GR37,-29.54008,114.92848,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,37,1,13,,,
4.2.GR10,-29.54053,114.92773,20180814,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,2,GR,10,1,13,,,
4.1.CHin2_50,-29.5408,114.95042,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,50,3,13,,,
4.1.CHin2_38,-29.54056,114.9504,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,38,3,13,,,
4.1.CHin2_4,-29.54026,114.951,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,4,3,13,,,
4.1.CHin2_17,-29.54007,114.95035,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,17,3,13,X,,
4.1.CHin2_34,-29.53993,114.95093,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,34,3,13,,,
4.1.CHin2_27,-29.53925,114.95223,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,4,1,CHin2,27,3,13,,,
4.1.CHin2_18,-29.53901,114.95278,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,18,3,13,,,
4.1.CHin2_28,-29.53862,114.95284,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,28,3,13,,,
4.1.CHin2_16,-29.5385,114.95295,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,16,3,13,,,
4.1.CHin2_15,-29.53776,114.95294,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,15,3,13,,,
4.1.CHin2_32,-29.53816,114.95275,20180813,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,1,CHin2,32,3,13,,,
