Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Outlier,Tarspot,Retention.status,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,6.1.GR26,K3749,,97.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR26,198450,,45.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR26,198449,,56,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR26,195579,TRUE,54.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR26,196590,TRUE,54.6,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,K3748,,74.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,197300,,55.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,196024,TRUE,60.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,y,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,197299,,61.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,196023,TRUE,52.6,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,y,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,197298,,50.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,195984,TRUE,50.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,196702,TRUE,52.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,197297,,50.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,197296,,50.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,197295,,40.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR24,,,27,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,K3747,,83.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,K3746,,72.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,197294 + 197293,,54.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,196704,TRUE,50.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,y,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,197292,,53.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,197291,,48,Male,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,195288,TRUE,46.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,,,Released,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,6.1.GR35,195192,TRUE,48.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,6,y,,Released,0,1,Palinuridae,Panulirus,cygnus
