Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
8.1.CHN45,-29.50979,114.9343167,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,45,3,13,,
8.1.CHN39,-29.50941,114.9348183,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,39,3,13,,
8.1.CHN22,-29.50898,114.9353317,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,22,3,13,,
8.1.CHN23,-29.50849333,114.935575,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,23,3,13,,
8.1.CHN29,-29.50795667,114.935755,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,29,3,13,,
8.1.CHN38,-29.50753667,114.9364467,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,38,3,13,,
8.1.CHN21,-29.506935,114.9367033,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,21,3,13,,
8.1.CHN13,-29.50644,114.93738,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,13,3,13,,
8.1.CHN26,-29.50566167,114.93792,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,26,3,13,,
8.1.CHN43,-29.504685,114.9378717,20181203,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,CHN,43,3,13,,
8.1.LH7,-29.48365833,114.9175017,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,7,3,13,,
8.1.LH47,-29.483935,114.9158767,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,47,3,13,,
8.1.LH11,-29.48352167,114.9158767,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,11,3,13,,
8.1.LH18,-29.46109667,114.9255667,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,18,3,13,,
8.1.LH6,-29.46055333,114.9260833,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,6,3,13,,
8.1.LH8,-29.45998,114.9263,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,8,3,13,,
8.1.LH17,-29.45939,114.9263067,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,17,3,13,,
8.1.LH37,-29.458865,114.92644,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,37,3,13,,
8.1.LH15,-29.46279833,114.9115267,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,15,3,13,,
8.1.LH12,-29.46185667,114.9113933,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,12,3,13,,
8.1.LH35,-29.460805,114.911265,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,35,3,13,,
8.1.LH27,-29.45979667,114.9111633,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,27,3,13,,
8.1.LH4,-29.45885333,114.91106,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,4,3,13,,
8.1.LH5,-29.45793833,114.9108467,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,5,3,13,,
8.1.LH31,-29.45729167,114.910725,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,31,3,13,,
8.1.LH48,-29.45642,114.910685,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,48,3,13,,
8.1.LH20,-29.45563333,114.910745,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,20,3,13,,
8.1.LH16,-29.45463833,114.91091,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,16,3,13,,
8.1.LH46,-29.45896167,114.9064383,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,46,3,13,1,
8.1.LH36,-29.45862167,114.90631,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,36,3,13,,
8.1.LH34,-29.45816833,114.906395,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,34,3,13,,
8.1.LH33,-29.45770167,114.9065683,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,33,3,13,,
8.1.LH50,-29.45724667,114.90689,20181203,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,LH,50,3,13,,
8.1.WP19,-29.41293667,114.8861783,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,19,3,13,,
8.1.WP44,-29.41229833,114.886625,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,44,3,13,,
8.1.WP2,-29.411105,114.8859633,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,2,3,13,,
8.1.WP41,-29.41040833,114.8858383,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,41,3,13,,
8.1.WP1,-29.40983667,114.88599,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,1,3,13,,
8.1.WP49,-29.40922833,114.885775,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,49,3,13,,
8.1.WP9,-29.408615,114.8853717,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,9,3,13,,
8.1.WP25,-29.40793,114.8855167,20181203,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WP,25,3,13,,
8.1.WL40,-29.38505167,114.88552,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,40,3,13,,
8.1.WL32,-29.384495,114.8853083,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,32,3,13,,
8.1.WL10,-29.38385167,114.8855083,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,10,3,13,,
8.1.WL28,-29.38317667,114.8847933,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,28,3,13,,
8.1.WL3,-29.38269,114.8845167,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,3,3,13,,
8.1.WL24,-29.38148,114.8837383,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,24,3,13,,
8.1.WL30,-29.380995,114.8836383,20181203,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,1,WL,30,3,13,1,
8.2.LH15,-29.46177333,114.9117483,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,15,1,13,,
8.2.LH12,-29.46091167,114.9117933,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,12,1,13,,
8.2.LH35,-29.45982667,114.9120517,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,35,1,13,,
8.2.LH27,-29.45896333,114.9120517,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,27,1,13,,
8.2.LH4,-29.45801333,114.9120517,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,4,1,13,,
8.2.LH48,-29.45779833,114.9120667,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,48,,13,,
8.2.LH20,-29.456365,114.912165,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,20,1,13,,
8.2.LH5,-29.45534,114.91211,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,5,1,13,,
8.2.LH31,-29.45421333,114.9121767,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,31,1,13,,
8.2.LH16,-29.45312333,114.9121333,20181204,12:00:00,Cliff Head,Fished,Little Horseshoe,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,LH,16,1,13,,
8.2.SR46,-29.45938167,114.8671233,20181204,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,SR,46,1,13,,
8.2.SR36,-29.458805,114.866905,20181204,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,SR,36,,13,,
8.2.SR34,-29.45900744,114.8670895,20181204,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,SR,34,1,13,,
8.2.SR33,-29.45971333,114.8673417,20181204,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,SR,33,1,13,,
8.2.SR50,-29.46008,114.8671383,20181204,12:00:00,Irwin Reef,Fished,South Rig,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,SR,50,1,13,,
8.2.WP19,-29.423225,114.8923917,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,19,1,13,,
8.2.WP44,-29.42281667,114.8924367,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,44,1,13,,
8.2.WP2,-29.4222,114.8923983,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,2,1,13,,
8.2.WP41,-29.42058667,114.891575,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,41,1,13,,
8.2.WP1,-29.41992333,114.8915767,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,1,1,13,1,
8.2.WP25,-29.418695,114.891955,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,25,1,13,,
8.2.WP18,-29.418195,114.8917017,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,18,1,13,,
8.2.WP49,-29.41741333,114.8918483,20181204,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WP,49,1,13,,
8.2.WL40,-29.38533833,114.88565,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,40,1,13,,
8.2.WL32,-29.38495,114.885485,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,32,1,13,,
8.2.WL10,-29.38453167,114.88548,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,Fish (3),Dongara.Millers.Masters,8,2,WL,10,1,13,,
8.2.WL28,-29.38413,114.8852117,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,28,1,13,,
8.2.WL3,-29.38383,114.8854917,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,3,1,13,,
8.2.WL24,-29.3833,114.8858767,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,24,1,13,,
8.2.WL30,-29.38295667,114.8863533,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,30,1,13,,
8.2.WL9,-29.38221,114.8869,20181204,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,WL,9,1,13,,
8.2.IR6,-29.34478,114.874235,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,6,1,13,,
8.2.IR8,-29.34392167,114.87426,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,8,1,13,1,
8.2.IR17,-29.34293333,114.874665,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,17,1,13,,
8.2.IR11,-29.34287333,114.87447,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,11,1,13,,
8.2.IR7,-29.341795,114.87419,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,7,1,13,1,
8.2.IR37,-29.34129667,114.8741617,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,37,1,13,,
8.2.IR47,-29.34096167,114.8738633,20181204,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,IR,47,1,13,,
8.2.CHN45,-29.510095,114.9342983,20181204,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,CHN,45,1,13,,
8.2.CHN23,-29.509605,114.9347783,20181204,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,CHN,23,,13,,
8.2.CHN29,-29.50914333,114.9351683,20181204,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,CHN,29,,13,,
8.2.CHN39,-29.50830167,114.9352933,20181204,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,8,2,CHN,39,1,13,,
