Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Date,Outlier,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,12.1.IR9,195339,TRUE,-9999,Female,Red,0,0,0,0,Dead,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR9,191714,TRUE,77,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR9,197214,TRUE,65.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR9,191757,TRUE,59.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR9,198143,TRUE,54.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,197146,TRUE,64.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,191741,TRUE,68.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,196327,TRUE,68.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,198126,TRUE,73.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,198629,TRUE,61,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,K2684,TRUE,75,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,196770,TRUE,66.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,195164,TRUE,58.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,196331,TRUE,71,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,195122,TRUE,55.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,195130,TRUE,74.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR38,195155,TRUE,67.7,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,196928,TRUE,59.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,196482,TRUE,64.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,195364,TRUE,79.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,195377,TRUE,77,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,191993,TRUE,70.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,195125,TRUE,76.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,195392,TRUE,65.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,197208,TRUE,54,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR31,196294,TRUE,60.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR48,195499,TRUE,55.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR48,195006,TRUE,74.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196833,TRUE,55.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196273,TRUE,66,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196759,TRUE,78.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,K4172,TRUE,78.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,195019,TRUE,71.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,198119,TRUE,78.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,198463,TRUE,55.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,198105,TRUE,70.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,K2553,TRUE,71.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196440,TRUE,67.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196285,TRUE,64.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196809,TRUE,64.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196275,TRUE,65,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,198117,TRUE,57.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,198113,TRUE,54.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR35,196803,TRUE,58.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,198189,TRUE,77.2,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,196548,TRUE,74.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,195485,TRUE,80.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,K2364,TRUE,82.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,196516,TRUE,67.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,196266,TRUE,64.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,198197,TRUE,61.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,12.1.IR29,191754,TRUE,66.9,Female,Red,0,0,0,0,Alive,,,,,,FALSE,12,2019-07-08,,0,1,Palinuridae,Panulirus,cygnus
