Date,Hs(m).tot,Tp(s).tot,T1(s).tot,Hs(m).sw,Tp(s).sw,T1(s).sw,Dir(deg).sw,Hs(m).sea,Tp(s).sea,T1(s).sea,Dir(deg).sea
01/01/2017  00:50,2.39,14.29,6.44,1.51,14.29,12.51,246,1.85,6.67,4.87,200
01/01/2017  01:20,,,,,,,,,,,
01/01/2017  01:50,2.2,14.29,6.68,1.44,14.29,12.41,249,1.66,6.67,4.95,201
01/01/2017  02:20,2.14,14.29,6.96,1.48,14.29,12.48,243,1.55,7.69,4.96,210
01/01/2017  02:50,2.19,13.33,7.2,1.54,13.33,12.36,236,1.56,7.69,5.12,210
01/01/2017  03:20,2.21,14.29,6.95,1.5,14.29,12.07,235,1.62,7.14,5.11,205
01/01/2017  03:50,2.2,13.33,7.28,1.65,13.33,12.17,246,1.46,7.69,4.82,207
01/01/2017  04:20,2.13,14.29,7.32,1.59,14.29,12.14,248,1.41,7.14,4.87,200
01/01/2017  04:50,2.16,13.33,7.17,1.61,13.33,11.81,236,1.44,7.69,4.8,212
01/01/2017  05:20,1.95,13.33,6.88,1.38,13.33,11.79,239,1.38,7.69,4.86,207
01/01/2017  05:50,2.01,14.29,7.06,1.48,14.29,11.71,238,1.36,7.69,4.79,214
01/01/2017  06:20,1.94,11.76,7.04,1.44,11.76,11.57,242,1.3,7.69,4.76,207
01/01/2017  06:50,1.97,12.5,7.25,1.52,12.5,11.7,243,1.25,7.69,4.65,210
01/01/2017  07:20,1.88,14.29,7.08,1.48,14.29,11.74,232,1.17,7.69,4.33,208
01/01/2017  07:50,1.8,11.76,6.79,1.36,11.76,11.39,239,1.17,7.69,4.4,207
01/01/2017  08:20,2.06,13.33,7.4,1.63,13.33,11.88,239,1.26,7.69,4.54,207
01/01/2017  08:50,1.82,14.29,6.77,1.38,14.29,11.45,249,1.18,7.69,4.35,208
01/01/2017  09:20,1.85,12.5,6.93,1.44,14.29,11.72,246,1.17,7.69,4.27,208
01/01/2017  09:50,1.76,14.29,6.8,1.33,14.29,11.06,231,1.16,7.69,4.52,212
01/01/2017  10:20,1.83,14.29,7,1.35,14.29,11.44,239,1.23,7.69,4.77,219
01/01/2017  10:50,1.76,13.33,7.31,1.35,13.33,11.51,245,1.12,7.14,4.78,214
01/01/2017  11:20,1.74,13.33,7.68,1.4,13.33,11.42,238,1.03,7.69,4.78,215
01/01/2017  11:50,1.77,12.5,7.69,1.44,12.5,11.47,240,1.04,7.69,4.72,214
01/01/2017  12:20,1.66,12.5,7.45,1.31,12.5,11.48,245,1.01,7.69,4.68,222
01/01/2017  12:50,1.63,13.33,7.12,1.25,13.33,11.49,232,1.05,7.69,4.62,221
01/01/2017  13:20,1.6,13.33,6.58,1.23,13.33,11.52,238,1.02,7.69,4.04,215
01/01/2017  13:50,1.74,13.33,7.07,1.37,13.33,11.53,242,1.06,7.69,4.3,218
01/01/2017  14:20,1.78,13.33,6.65,1.32,13.33,11.35,243,1.19,7.69,4.4,218
01/01/2017  14:50,1.83,13.33,6.56,1.38,13.33,11.56,238,1.21,7.69,4.19,217
01/01/2017  15:20,1.86,13.33,6.13,1.29,13.33,11.97,240,1.33,7.69,4.19,217
01/01/2017  15:50,1.78,14.29,5.79,1.17,14.29,11.14,239,1.34,7.69,4.22,215
01/01/2017  16:20,1.93,14.29,6.08,1.32,14.29,11.98,253,1.41,7.69,4.24,210
01/01/2017  16:50,2.09,12.5,5.97,1.41,12.5,11.15,239,1.54,7.69,4.3,214
01/01/2017  17:20,1.94,14.29,5.47,1.16,14.29,11.37,248,1.56,4.76,4.25,187
01/01/2017  17:50,1.99,14.29,5.78,1.21,14.29,11.83,248,1.59,7.69,4.47,218
