"sizeclass","Sample","Date","Location","Site","SiteNo","Longitude","Latitude","Hs.m.sw","Hs.m.sea","T1.s.sw","T1.s.sea","sst","Count"
"All","1.1.CHin1_1","2018-05-08","Cliff Head","Cliff Head Mid","-29.52059333114.96065",114.96065,-29.52059333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,1
"Legal","1.1.CHin1_1","2018-05-08","Cliff Head","Cliff Head Mid","-29.52059333114.96065",114.96065,-29.52059333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin1_1","2018-05-08","Cliff Head","Cliff Head Mid","-29.52059333114.96065",114.96065,-29.52059333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,1
"All","1.1.CHin1_2","2018-05-08","Cliff Head","Cliff Head Mid","-29.52081114.9607567",114.9607567,-29.52081,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Legal","1.1.CHin1_2","2018-05-08","Cliff Head","Cliff Head Mid","-29.52081114.9607567",114.9607567,-29.52081,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin1_2","2018-05-08","Cliff Head","Cliff Head Mid","-29.52081114.9607567",114.9607567,-29.52081,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"All","1.1.CHin1_3","2018-05-08","Cliff Head","Cliff Head Mid","-29.52257114.96078",114.96078,-29.52257,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,2
"Legal","1.1.CHin1_3","2018-05-08","Cliff Head","Cliff Head Mid","-29.52257114.96078",114.96078,-29.52257,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin1_3","2018-05-08","Cliff Head","Cliff Head Mid","-29.52257114.96078",114.96078,-29.52257,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,2
"All","1.1.CHin1_4","2018-05-08","Cliff Head","Cliff Head Mid","-29.52398114.9602283",114.9602283,-29.52398,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,3
"Legal","1.1.CHin1_4","2018-05-08","Cliff Head","Cliff Head Mid","-29.52398114.9602283",114.9602283,-29.52398,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,0
"Sublegal","1.1.CHin1_4","2018-05-08","Cliff Head","Cliff Head Mid","-29.52398114.9602283",114.9602283,-29.52398,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.48,3
