"","X","trip.day.trap","Date","Site","Longitude","Latitude","Location","Sum.m","Sum.f","Lat","Long","SiteNo","sst"
"1",1,"1.1.LH34",2018-05-08,"Little Horseshoe",114.9202783,-29.48539333,"Cliff Head",0,1,-29.48539333,114.9202783,"-29.485393114.920278",21.41
"2",2,"1.1.LH35",2018-05-08,"Little Horseshoe",114.92082,-29.48664833,"Cliff Head",0,0,-29.48664833,114.92082,"-29.486648114.92082",21.41
"3",3,"1.1.LH36",2018-05-08,"Little Horseshoe",114.9199618,-29.48389509,"Cliff Head",0,0,-29.48389509,114.9199618,"-29.483895114.919962",21.41
"4",4,"1.1.LH37",2018-05-08,"Little Horseshoe",114.9188633,-29.48786,"Cliff Head",2,0,-29.48786,114.9188633,"-29.48786114.918863",21.41
"5",5,"1.1.LH38",2018-05-08,"Little Horseshoe",114.9201967,-29.48974167,"Cliff Head",1,0,-29.48974167,114.9201967,"-29.489742114.920197",21.41
"6",6,"1.1.CHout2_19",2018-05-08,"Cliff Head North",114.95605,-29.48408833,"Cliff Head",0,1,-29.48408833,114.95605,"-29.484088114.95605",21.41
"7",7,"1.1.CHout2_20",2018-05-08,"Cliff Head North",114.9557083,-29.484145,"Cliff Head",0,0,-29.484145,114.9557083,"-29.484145114.955708",21.41
"8",8,"1.1.CHout2_21",2018-05-08,"Cliff Head North",114.955625,-29.484515,"Cliff Head",2,1,-29.484515,114.955625,"-29.484515114.955625",21.41
"9",9,"1.1.CHout2_22",2018-05-08,"Cliff Head North",114.9556467,-29.48466167,"Cliff Head",1,0,-29.48466167,114.9556467,"-29.484662114.955647",21.41
"10",10,"1.1.CHout2_23",2018-05-08,"Cliff Head North",114.955805,-29.48516167,"Cliff Head",0,2,-29.48516167,114.955805,"-29.485162114.955805",21.41
"11",11,"1.1.CHout2_24",2018-05-08,"Cliff Head North",114.9558567,-29.48544167,"Cliff Head",0,0,-29.48544167,114.9558567,"-29.485442114.955857",21.41
"12",12,"1.1.CHout2_25",2018-05-08,"Cliff Head North",114.9586917,-29.483475,"Cliff Head",3,2,-29.483475,114.9586917,"-29.483475114.958692",21.41
"13",13,"1.1.CHout2_26",2018-05-08,"Cliff Head North",114.9590817,-29.48243167,"Cliff Head",5,1,-29.48243167,114.9590817,"-29.482432114.959082",21.41
"14",14,"1.1.CHout2_27",2018-05-08,"Cliff Head North",114.9573567,-29.48155,"Cliff Head",0,0,-29.48155,114.9573567,"-29.48155114.957357",21.41
"15",15,"1.1.CHout2_28",2018-05-08,"Cliff Head North",114.9574,-29.48056833,"Cliff Head",0,0,-29.48056833,114.9574,"-29.480568114.9574",21.41
"16",16,"1.1.CHin1_1",2018-05-08,"Cliff Head Mid",114.96065,-29.52059333,"Cliff Head",0,1,-29.52059333,114.96065,"-29.520593114.96065",21.48
"17",17,"1.1.CHin1_2",2018-05-08,"Cliff Head Mid",114.9607567,-29.52081,"Cliff Head",0,0,-29.52081,114.9607567,"-29.52081114.960757",21.48
"18",18,"1.1.CHin1_3",2018-05-08,"Cliff Head Mid",114.96078,-29.52257,"Cliff Head",0,2,-29.52257,114.96078,"-29.52257114.96078",21.48
"19",19,"1.1.CHin1_4",2018-05-08,"Cliff Head Mid",114.9602283,-29.52398,"Cliff Head",0,3,-29.52398,114.9602283,"-29.52398114.960228",21.48
"20",20,"1.1.CHin1_5",2018-05-08,"Cliff Head Mid",114.9602023,-29.52431361,"Cliff Head",0,1,-29.52431361,114.9602023,"-29.524314114.960202",21.48
"21",21,"1.1.CHin1_8",2018-05-08,"Cliff Head Mid",114.960065,-29.525505,"Cliff Head",1,1,-29.525505,114.960065,"-29.525505114.960065",21.48
"22",22,"1.1.CHin1_9",2018-05-08,"Cliff Head Mid",114.959545,-29.52649833,"Cliff Head",0,0,-29.52649833,114.959545,"-29.526498114.959545",21.48
"23",23,"1.1.CHin2_39",2018-05-08,"Cliff Head South",114.957505,-29.53249667,"Cliff Head",1,0,-29.53249667,114.957505,"-29.532497114.957505",21.48
"24",24,"1.1.CHin2_40",2018-05-08,"Cliff Head South",114.9573264,-29.53306292,"Cliff Head",0,0,-29.53306292,114.9573264,"-29.533063114.957326",21.48
"25",25,"1.1.CHin2_41",2018-05-08,"Cliff Head South",114.957272,-29.5336231,"Cliff Head",0,0,-29.5336231,114.957272,"-29.533623114.957272",21.48
"26",26,"1.1.CHin2_42",2018-05-08,"Cliff Head South",114.9573117,-29.53436,"Cliff Head",0,0,-29.53436,114.9573117,"-29.53436114.957312",21.48
"27",27,"1.1.CHin2_43",2018-05-08,"Cliff Head South",114.9570883,-29.535485,"Cliff Head",1,1,-29.535485,114.9570883,"-29.535485114.957088",21.48
"28",28,"1.1.CHin2_44",2018-05-08,"Cliff Head South",114.9624133,-29.51325833,"Cliff Head",0,0,-29.51325833,114.9624133,"-29.513258114.962413",21.48
"29",29,"1.1.JB29",2018-05-08,"White Point",114.905485,-29.41449,"Irwin Reef",0,0,-29.41449,114.905485,"-29.41449114.905485",21.41
"30",30,"1.1.JB30",2018-05-08,"White Point",114.9041683,-29.41642167,"Irwin Reef",2,0,-29.41642167,114.9041683,"-29.416422114.904168",21.41
"31",31,"1.1.JB31",2018-05-08,"White Point",114.8975467,-29.41985667,"Irwin Reef",1,3,-29.41985667,114.8975467,"-29.419857114.897547",21.41
"32",32,"1.1.JB32",2018-05-08,"White Point",114.895545,-29.42218333,"Irwin Reef",7,2,-29.42218333,114.895545,"-29.422183114.895545",21.41
"33",33,"1.1.JB33",2018-05-08,"White Point",114.8962333,-29.42608,"Irwin Reef",0,0,-29.42608,114.8962333,"-29.42608114.896233",21.41
"34",34,"1.1.SM10",2018-05-08,"Seven Mile.out",114.887305,-29.21342,"Seven Mile",7,14,-29.21342,114.887305,"-29.21342114.887305",21.4
"35",35,"1.1.SM11",2018-05-08,"Seven Mile.out",114.8874305,-29.2145563,"Seven Mile",5,10,-29.2145563,114.8874305,"-29.214556114.88743",21.4
"36",36,"1.1.SM12",2018-05-08,"Seven Mile.out",114.8875617,-29.216695,"Seven Mile",16,12,-29.216695,114.8875617,"-29.216695114.887562",21.4
"37",37,"1.1.SM13",2018-05-08,"Seven Mile.out",114.8878359,-29.21595152,"Seven Mile",10,3,-29.21595152,114.8878359,"-29.215952114.887836",21.4
"38",38,"1.1.SM14",2018-05-08,"Seven Mile.out",114.8877917,-29.21709667,"Seven Mile",5,2,-29.21709667,114.8877917,"-29.217097114.887792",21.4
"39",39,"1.1.SM15",2018-05-08,"Seven Mile.out",114.8877917,-29.21709667,"Seven Mile",11,17,-29.21709667,114.8877917,"-29.217097114.887792",21.4
"40",40,"1.1.SM16",2018-05-08,"Seven Mile.out",114.8881917,-29.21843167,"Seven Mile",18,12,-29.21843167,114.8881917,"-29.218432114.888192",21.4
"41",41,"1.1.SM17",2018-05-08,"Seven Mile.out",114.8891633,-29.21943,"Seven Mile",9,15,-29.21943,114.8891633,"-29.21943114.889163",21.4
"42",42,"1.1.SM18",2018-05-08,"Seven Mile.out",114.889825,-29.22016333,"Seven Mile",16,21,-29.22016333,114.889825,"-29.220163114.889825",21.4
"43",43,"1.2.LH45",2018-05-09,"Little Horseshoe",114.921565,-29.45814167,"Cliff Head",0,0,-29.45814167,114.921565,"-29.458142114.921565",21.14
"44",44,"1.2.LH43",2018-05-09,"Little Horseshoe",114.9213767,-29.45856833,"Cliff Head",0,0,-29.45856833,114.9213767,"-29.458568114.921377",21.14
"45",45,"1.2.LH42",2018-05-09,"Little Horseshoe",114.9212717,-29.459085,"Cliff Head",0,0,-29.459085,114.9212717,"-29.459085114.921272",21.14
"46",46,"1.2.LH41",2018-05-09,"Little Horseshoe",114.9200133,-29.45972,"Cliff Head",0,0,-29.45972,114.9200133,"-29.45972114.920013",21.14
"47",47,"1.2.CHout2_20",2018-05-09,"Cliff Head North",114.95817,-29.48388167,"Cliff Head",0,0,-29.48388167,114.95817,"-29.483882114.95817",21.14
"48",48,"1.2.CHout2_11",2018-05-09,"Cliff Head North",114.959505,-29.48235167,"Cliff Head",0,0,-29.48235167,114.959505,"-29.482352114.959505",21.14
"49",49,"1.2.CHout2_12",2018-05-09,"Cliff Head North",114.9592736,-29.48233535,"Cliff Head",1,0,-29.48233535,114.9592736,"-29.482335114.959274",21.14
"50",50,"1.2.CHout2_13",2018-05-09,"Cliff Head North",114.959264,-29.48269887,"Cliff Head",0,0,-29.48269887,114.959264,"-29.482699114.959264",21.14
"51",51,"1.2.CHout2_14",2018-05-09,"Cliff Head North",114.9591092,-29.47833951,"Cliff Head",0,0,-29.47833951,114.9591092,"-29.47834114.959109",21.14
"52",52,"1.2.CHout2_16",2018-05-09,"Cliff Head North",114.9591974,-29.47767821,"Cliff Head",0,1,-29.47767821,114.9591974,"-29.477678114.959197",21.14
"53",53,"1.2.CHout2_17",2018-05-09,"Cliff Head North",114.95965,-29.47762,"Cliff Head",0,0,-29.47762,114.95965,"-29.47762114.95965",21.14
"54",54,"1.2.CHout2_19",2018-05-09,"Cliff Head North",114.958065,-29.48339833,"Cliff Head",2,1,-29.48339833,114.958065,"-29.483398114.958065",21.14
"55",55,"1.2.CHin2_1",2018-05-09,"Cliff Head South",114.952635,-29.53732667,"Cliff Head",0,0,-29.53732667,114.952635,"-29.537327114.952635",21.24
"56",56,"1.2.CHin2_2",2018-05-09,"Cliff Head South",114.952565,-29.53827333,"Cliff Head",1,0,-29.53827333,114.952565,"-29.538273114.952565",21.24
"57",57,"1.2.CHin2_47",2018-05-09,"Cliff Head South",114.9586667,-29.53613333,"Cliff Head",0,0,-29.53613333,114.9586667,"-29.536133114.958667",21.24
"58",58,"1.2.CHin2_48",2018-05-09,"Cliff Head South",114.9589317,-29.536135,"Cliff Head",0,0,-29.536135,114.9589317,"-29.536135114.958932",21.24
"59",59,"1.2.CHin2_3",2018-05-09,"Cliff Head South",114.9518767,-29.53918167,"Cliff Head",0,0,-29.53918167,114.9518767,"-29.539182114.951877",21.24
"60",60,"1.2.CHin2_4",2018-05-09,"Cliff Head South",114.95141,-29.539555,"Cliff Head",0,0,-29.539555,114.95141,"-29.539555114.95141",21.24
"61",61,"1.2.CHin2_5",2018-05-09,"Cliff Head South",114.9542083,-29.54255667,"Cliff Head",2,0,-29.54255667,114.9542083,"-29.542557114.954208",21.24
"62",62,"1.2.CHin2_6",2018-05-09,"Cliff Head South",114.9545183,-29.54230167,"Cliff Head",0,0,-29.54230167,114.9545183,"-29.542302114.954518",21.24
"63",63,"1.2.CHin2_7",2018-05-09,"Cliff Head South",114.9546315,-29.541984,"Cliff Head",0,0,-29.541984,114.9546315,"-29.541984114.954632",21.24
"64",64,"1.2.CHin2_8",2018-05-09,"Cliff Head South",114.95428,-29.541315,"Cliff Head",0,0,-29.541315,114.95428,"-29.541315114.95428",21.24
"65",65,"1.2.CHin2_9",2018-05-09,"Cliff Head South",114.957005,-29.54058667,"Cliff Head",2,1,-29.54058667,114.957005,"-29.540587114.957005",21.24
"66",66,"1.2.CHin2_46",2018-05-09,"Cliff Head South",114.9517733,-29.53861833,"Cliff Head",0,0,-29.53861833,114.9517733,"-29.538618114.951773",21.24
"67",67,"1.2.CHin2_10",2018-05-09,"Cliff Head South",114.95861,-29.53640167,"Cliff Head",0,2,-29.53640167,114.95861,"-29.536402114.95861",21.24
"68",68,"1.2.CHin2_49",2018-05-09,"Cliff Head South",114.9586233,-29.53578333,"Cliff Head",0,0,-29.53578333,114.9586233,"-29.535783114.958623",21.24
"69",69,"1.2.CHin2_50",2018-05-09,"Cliff Head South",114.95819,-29.535765,"Cliff Head",0,0,-29.535765,114.95819,"-29.535765114.95819",21.24
"70",70,"1.2.JB23",2018-05-09,"White Point",114.8968133,-29.41871,"Irwin Reef",0,0,-29.41871,114.8968133,"-29.41871114.896813",21.14
"71",71,"1.2.JB23",2018-06-09,"White Point",114.8968133,-29.41871,"Irwin Reef",0,0,-29.41871,114.8968133,"-29.41871114.896813",20.46
"72",72,"1.2.JB24",2018-05-09,"White Point",114.8974733,-29.42045,"Irwin Reef",0,1,-29.42045,114.8974733,"-29.42045114.897473",21.14
"73",73,"1.2.JB21",2018-05-09,"White Point",114.8950433,-29.422275,"Irwin Reef",3,8,-29.422275,114.8950433,"-29.422275114.895043",21.14
"74",74,"1.2.JB22",2018-05-09,"White Point",114.8951633,-29.42109167,"Irwin Reef",4,2,-29.42109167,114.8951633,"-29.421092114.895163",21.14
"75",75,"1.2.SM35",2018-05-09,"Seven Mile.out",114.8873317,-29.21334167,"Seven Mile",7,5,-29.21334167,114.8873317,"-29.213342114.887332",21.15
"76",76,"1.2.SM34",2018-05-09,"Seven Mile.out",114.888185,-29.215525,"Seven Mile",2,5,-29.215525,114.888185,"-29.215525114.888185",21.15
"77",77,"1.2.SM33",2018-05-09,"Seven Mile.out",114.88795,-29.21598667,"Seven Mile",6,4,-29.21598667,114.88795,"-29.215987114.88795",21.15
"78",78,"1.2.SM32",2018-05-09,"Seven Mile.out",114.8877733,-29.21659167,"Seven Mile",0,0,-29.21659167,114.8877733,"-29.216592114.887773",21.15
"79",79,"1.2.SM31",2018-05-09,"Seven Mile.out",114.8878783,-29.21713,"Seven Mile",11,15,-29.21713,114.8878783,"-29.21713114.887878",21.15
"80",80,"1.2.SM30",2018-05-09,"Seven Mile.out",114.8884933,-29.21767,"Seven Mile",3,3,-29.21767,114.8884933,"-29.21767114.888493",21.15
"81",81,"1.2.SM29",2018-05-09,"Seven Mile.out",114.888355,-29.21844167,"Seven Mile",17,21,-29.21844167,114.888355,"-29.218442114.888355",21.15
"82",82,"1.2.SM27",2018-05-09,"Seven Mile.out",114.88938,-29.22019,"Seven Mile",3,8,-29.22019,114.88938,"-29.22019114.88938",21.15
"83",83,"1.2.SM26",2018-05-09,"Seven Mile.out",114.8900862,-29.22117218,"Seven Mile",17,23,-29.22117218,114.8900862,"-29.221172114.890086",21.15
"84",84,"2.1.IR1",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",11,12,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"85",85,"2.1.IR5",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",0,0,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"86",86,"2.1.IR2",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",6,6,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"87",87,"2.1.IR4",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",9,9,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"88",88,"2.1.IR3",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",8,11,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"89",89,"2.1.IR6",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",14,9,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"90",90,"2.1.IR7",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",2,4,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"91",91,"2.1.IR8",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",9,8,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"92",92,"2.1.IR9",2018-06-11,"Irwin Reef",114.8731033,-29.32368333,"Irwin Reef",9,11,-29.32368333,114.8731033,"-29.323683114.873103",21.26
"93",93,"2.1.IR10",2018-06-11,"Irwin Reef",114.8739361,-29.34287155,"Irwin Reef",14,19,-29.34287155,114.8739361,"-29.342872114.873936",21.26
"94",94,"2.1.SR45",2018-06-11,"South Rig",114.872195,-29.45878333,"Irwin Reef",2,2,-29.45878333,114.872195,"-29.458783114.872195",21.26
"95",95,"2.1.SR44",2018-06-11,"South Rig",114.8723,-29.45616833,"Irwin Reef",13,5,-29.45616833,114.8723,"-29.456168114.8723",21.26
"96",96,"2.1.SR43",2018-06-11,"South Rig",114.87107,-29.45412833,"Irwin Reef",0,2,-29.45412833,114.87107,"-29.454128114.87107",21.26
"97",97,"2.1.SR42",2018-06-11,"South Rig",114.87041,-29.45287667,"Irwin Reef",0,2,-29.45287667,114.87041,"-29.452877114.87041",21.26
