"sizeclass","Sample","Count","Date","Location","Site","Longitude","Latitude"
"All","1.1.CHin1_1",1,"2018-05-08","Cliff Head","Cliff Head Mid",114.96065,-29.52059333
"Legal","1.1.CHin1_1",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.96065,-29.52059333
"Sublegal","1.1.CHin1_1",1,"2018-05-08","Cliff Head","Cliff Head Mid",114.96065,-29.52059333
"All","1.1.CHin1_2",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9607567,-29.52081
"Legal","1.1.CHin1_2",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9607567,-29.52081
"Sublegal","1.1.CHin1_2",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9607567,-29.52081
"All","1.1.CHin1_3",2,"2018-05-08","Cliff Head","Cliff Head Mid",114.96078,-29.52257
"Legal","1.1.CHin1_3",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.96078,-29.52257
"Sublegal","1.1.CHin1_3",2,"2018-05-08","Cliff Head","Cliff Head Mid",114.96078,-29.52257
"All","1.1.CHin1_4",3,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602283,-29.52398
"Legal","1.1.CHin1_4",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602283,-29.52398
"Sublegal","1.1.CHin1_4",3,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602283,-29.52398
"All","1.1.CHin1_5",1,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602023,-29.52431361
"Legal","1.1.CHin1_5",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602023,-29.52431361
"Sublegal","1.1.CHin1_5",1,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602023,-29.52431361
"All","1.1.CHin1_6",2,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602273,-29.52465285
"Legal","1.1.CHin1_6",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602273,-29.52465285
"Sublegal","1.1.CHin1_6",2,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602273,-29.52465285
"All","1.1.CHin1_7",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602917,-29.52505833
"Legal","1.1.CHin1_7",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602917,-29.52505833
"Sublegal","1.1.CHin1_7",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.9602917,-29.52505833
"All","1.1.CHin1_8",2,"2018-05-08","Cliff Head","Cliff Head Mid",114.960065,-29.525505
"Legal","1.1.CHin1_8",1,"2018-05-08","Cliff Head","Cliff Head Mid",114.960065,-29.525505
"Sublegal","1.1.CHin1_8",1,"2018-05-08","Cliff Head","Cliff Head Mid",114.960065,-29.525505
"All","1.1.CHin1_9",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.959545,-29.52649833
"Legal","1.1.CHin1_9",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.959545,-29.52649833
"Sublegal","1.1.CHin1_9",0,"2018-05-08","Cliff Head","Cliff Head Mid",114.959545,-29.52649833
"All","1.1.CHin2_39",1,"2018-05-08","Cliff Head","Cliff Head South",114.957505,-29.53249667
"Legal","1.1.CHin2_39",0,"2018-05-08","Cliff Head","Cliff Head South",114.957505,-29.53249667
"Sublegal","1.1.CHin2_39",1,"2018-05-08","Cliff Head","Cliff Head South",114.957505,-29.53249667
"All","1.1.CHin2_40",0,"2018-05-08","Cliff Head","Cliff Head South",114.9573264,-29.53306292
"Legal","1.1.CHin2_40",0,"2018-05-08","Cliff Head","Cliff Head South",114.9573264,-29.53306292
"Sublegal","1.1.CHin2_40",0,"2018-05-08","Cliff Head","Cliff Head South",114.9573264,-29.53306292
"All","1.1.CHin2_41",0,"2018-05-08","Cliff Head","Cliff Head South",114.957272,-29.5336231
"Legal","1.1.CHin2_41",0,"2018-05-08","Cliff Head","Cliff Head South",114.957272,-29.5336231
"Sublegal","1.1.CHin2_41",0,"2018-05-08","Cliff Head","Cliff Head South",114.957272,-29.5336231
"All","1.1.CHin2_42",0,"2018-05-08","Cliff Head","Cliff Head South",114.9573117,-29.53436
"Legal","1.1.CHin2_42",0,"2018-05-08","Cliff Head","Cliff Head South",114.9573117,-29.53436
"Sublegal","1.1.CHin2_42",0,"2018-05-08","Cliff Head","Cliff Head South",114.9573117,-29.53436
"All","1.1.CHin2_43",2,"2018-05-08","Cliff Head","Cliff Head South",114.9570883,-29.535485
"Legal","1.1.CHin2_43",0,"2018-05-08","Cliff Head","Cliff Head South",114.9570883,-29.535485
"Sublegal","1.1.CHin2_43",2,"2018-05-08","Cliff Head","Cliff Head South",114.9570883,-29.535485
"All","1.1.CHin2_44",0,"2018-05-08","Cliff Head","Cliff Head South",114.9624133,-29.51325833
"Legal","1.1.CHin2_44",0,"2018-05-08","Cliff Head","Cliff Head South",114.9624133,-29.51325833
"Sublegal","1.1.CHin2_44",0,"2018-05-08","Cliff Head","Cliff Head South",114.9624133,-29.51325833
"All","1.1.CHout2_19",1,"2018-05-08","Cliff Head","Cliff Head North",114.95605,-29.48408833
"Legal","1.1.CHout2_19",0,"2018-05-08","Cliff Head","Cliff Head North",114.95605,-29.48408833
"Sublegal","1.1.CHout2_19",1,"2018-05-08","Cliff Head","Cliff Head North",114.95605,-29.48408833
"All","1.1.CHout2_20",0,"2018-05-08","Cliff Head","Cliff Head North",114.9557083,-29.484145
"Legal","1.1.CHout2_20",0,"2018-05-08","Cliff Head","Cliff Head North",114.9557083,-29.484145
"Sublegal","1.1.CHout2_20",0,"2018-05-08","Cliff Head","Cliff Head North",114.9557083,-29.484145
"All","1.1.CHout2_21",3,"2018-05-08","Cliff Head","Cliff Head North",114.955625,-29.484515
"Legal","1.1.CHout2_21",1,"2018-05-08","Cliff Head","Cliff Head North",114.955625,-29.484515
"Sublegal","1.1.CHout2_21",2,"2018-05-08","Cliff Head","Cliff Head North",114.955625,-29.484515
"All","1.1.CHout2_22",1,"2018-05-08","Cliff Head","Cliff Head North",114.9556467,-29.48466167
"Legal","1.1.CHout2_22",0,"2018-05-08","Cliff Head","Cliff Head North",114.9556467,-29.48466167
"Sublegal","1.1.CHout2_22",1,"2018-05-08","Cliff Head","Cliff Head North",114.9556467,-29.48466167
"All","1.1.CHout2_23",2,"2018-05-08","Cliff Head","Cliff Head North",114.955805,-29.48516167
"Legal","1.1.CHout2_23",0,"2018-05-08","Cliff Head","Cliff Head North",114.955805,-29.48516167
"Sublegal","1.1.CHout2_23",2,"2018-05-08","Cliff Head","Cliff Head North",114.955805,-29.48516167
"All","1.1.CHout2_24",0,"2018-05-08","Cliff Head","Cliff Head North",114.9558567,-29.48544167
"Legal","1.1.CHout2_24",0,"2018-05-08","Cliff Head","Cliff Head North",114.9558567,-29.48544167
"Sublegal","1.1.CHout2_24",0,"2018-05-08","Cliff Head","Cliff Head North",114.9558567,-29.48544167
"All","1.1.CHout2_25",5,"2018-05-08","Cliff Head","Cliff Head North",114.9586917,-29.483475
"Legal","1.1.CHout2_25",0,"2018-05-08","Cliff Head","Cliff Head North",114.9586917,-29.483475
"Sublegal","1.1.CHout2_25",5,"2018-05-08","Cliff Head","Cliff Head North",114.9586917,-29.483475
"All","1.1.CHout2_26",6,"2018-05-08","Cliff Head","Cliff Head North",114.9590817,-29.48243167
"Legal","1.1.CHout2_26",0,"2018-05-08","Cliff Head","Cliff Head North",114.9590817,-29.48243167
"Sublegal","1.1.CHout2_26",6,"2018-05-08","Cliff Head","Cliff Head North",114.9590817,-29.48243167
"All","1.1.CHout2_27",0,"2018-05-08","Cliff Head","Cliff Head North",114.9573567,-29.48155
"Legal","1.1.CHout2_27",0,"2018-05-08","Cliff Head","Cliff Head North",114.9573567,-29.48155
"Sublegal","1.1.CHout2_27",0,"2018-05-08","Cliff Head","Cliff Head North",114.9573567,-29.48155
"All","1.1.CHout2_28",0,"2018-05-08","Cliff Head","Cliff Head North",114.9574,-29.48056833
"Legal","1.1.CHout2_28",0,"2018-05-08","Cliff Head","Cliff Head North",114.9574,-29.48056833
"Sublegal","1.1.CHout2_28",0,"2018-05-08","Cliff Head","Cliff Head North",114.9574,-29.48056833
"All","1.1.JB29",0,"2018-05-08","White Point","White Point",114.905485,-29.41449
"Legal","1.1.JB29",0,"2018-05-08","White Point","White Point",114.905485,-29.41449
"Sublegal","1.1.JB29",0,"2018-05-08","White Point","White Point",114.905485,-29.41449
"All","1.1.JB30",2,"2018-05-08","White Point","White Point",114.9041683,-29.41642167
"Legal","1.1.JB30",1,"2018-05-08","White Point","White Point",114.9041683,-29.41642167
"Sublegal","1.1.JB30",1,"2018-05-08","White Point","White Point",114.9041683,-29.41642167
"All","1.1.JB31",4,"2018-05-08","White Point","White Point",114.8975467,-29.41985667
"Legal","1.1.JB31",1,"2018-05-08","White Point","White Point",114.8975467,-29.41985667
"Sublegal","1.1.JB31",3,"2018-05-08","White Point","White Point",114.8975467,-29.41985667
"All","1.1.JB32",9,"2018-05-08","White Point","White Point",114.895545,-29.42218333
"Legal","1.1.JB32",1,"2018-05-08","White Point","White Point",114.895545,-29.42218333
"Sublegal","1.1.JB32",8,"2018-05-08","White Point","White Point",114.895545,-29.42218333
"All","1.1.JB33",0,"2018-05-08","White Point","White Point",114.8962333,-29.42608
"Legal","1.1.JB33",0,"2018-05-08","White Point","White Point",114.8962333,-29.42608
"Sublegal","1.1.JB33",0,"2018-05-08","White Point","White Point",114.8962333,-29.42608
"All","1.1.LH34",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9202783,-29.48539333
"Legal","1.1.LH34",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9202783,-29.48539333
"Sublegal","1.1.LH34",1,"2018-05-08","Little Horseshoe","Little Horseshoe",114.9202783,-29.48539333
"All","1.1.LH35",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.92082,-29.48664833
"Legal","1.1.LH35",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.92082,-29.48664833
"Sublegal","1.1.LH35",0,"2018-05-08","Little Horseshoe","Little Horseshoe",114.92082,-29.48664833
