"Source","Sample","Tag.number","Recapture","Sex","Colour","Dead","Individual.remarks","Reproductive.stage","Setose.state","Egg.stage","Moult.stage","Cable.tie","Outlier","Tarspot","Retention.status","Total.damage","Count","Date","Carapace.length","Trip","Damage.new.a","Damage.old.a","Damage.new.l","Damage.old.l"
"Dongara.Canons.Masters","1.SM17C1","K1021",NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,75,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C1",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,67,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C1","K1023",NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,71,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C1","K1024",NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,63,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C1","K1026",NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,72,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C1","K1028",NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,65,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F2",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,85,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F2",NA,NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,77,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F2",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,78,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F2",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,58,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F2",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,75,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F2",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,25,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C3",NA,NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,71,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C3",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,67,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C3",NA,NA,"Female","Unknown","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,61,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C3",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,74,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C3",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,67,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C3",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,61,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F4",NA,NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,72,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F4",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,66,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F4",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,46,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F4",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,71,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F4",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,33,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17F4",NA,NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,74,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,65,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,68,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,69,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,64,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,68,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,69,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,70,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,68,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Male","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,64,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,70,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C5",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,73,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C6",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,77,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C6",NA,NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,76,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C6",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,70,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C6",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,73,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C6",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,71,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C6",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,54,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Female","Red","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,72,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Male","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,71,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,69,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,73,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Female","Unknown","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,76,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,69,0,0,0,0,0
"Dongara.Canons.Masters","1.SM17C8",NA,NA,"Female","White","Alive",NA,NA,NA,NA,NA,"FALSE",NA,NA,"Released","0","1",NA,72,0,0,0,0,0
