Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Depth.lidar,Pot.type,Pwo,Wkw
1.1.CHin1_1,-29.52059333,114.96065,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,6.411,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,1,1,6.411,13,,
1.1.CHin1_2,-29.52081,114.9607567,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,6.81,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,2,1,6.81,13,,
1.1.CHin1_3,-29.52257,114.96078,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,5.85,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,3,1,5.85,13,,
1.1.CHin1_4,-29.52398,114.9602283,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,7.801,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,4,1,7.801,13,,
1.1.CHin1_5,-29.52431361,114.9602023,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,7.3,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,5,1,7.3,13,,
1.1.CHin1_6,-29.52465285,114.9602273,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,5.799,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,6,1,5.799,13,1,
1.1.CHin1_7,-29.52505833,114.9602917,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,5.9,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,7,1,5.9,13,1,
1.1.CHin1_8,-29.525505,114.960065,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,7.01,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,8,1,7.01,13,,
1.1.CHin1_9,-29.52649833,114.959545,20180508,12:00:00,Cliff Head,Fished,Cliff Head Mid,8.641,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin1,9,1,8.641,13,,
1.1.CHin2_39,-29.53249667,114.957505,20180508,12:00:00,Cliff Head,Fished,Cliff Head South,7.849,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin2,39,1,7.849,13,,
1.1.CHin2_40,-29.53306292,114.9573264,20180508,12:00:00,Cliff Head,Fished,Cliff Head South,7.45,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin2,40,1,7.45,13,,
1.1.CHin2_41,-29.5336231,114.957272,20180508,12:00:00,Cliff Head,Fished,Cliff Head South,7.212,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin2,41,1,7.212,13,,
1.1.CHin2_42,-29.53436,114.9573117,20180508,12:00:00,Cliff Head,Fished,Cliff Head South,6.9,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,CHin2,42,1,6.9,13,,
