Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
5.1.GR13,-29.53557,114.9292,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,13,1,13,,
5.1.GR20,-29.5368,114.9293,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,20,1,13,,
5.1.GR5,-29.53714,114.9293,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,5,1,13,,
5.1.GR1,-29.53723,114.9285,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,1,1,13,,
5.1.GR16,-29.53828,114.9285,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,5,1,GR,16,1,13,,
5.1.GR35,-29.53828,114.9286,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,35,1,13,,
5.1.GR32,-29.53913,114.928,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,32,1,13,,
5.1.GR21,-29.53968,114.9285,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,21,1,13,,
5.1.GR24,-29.5401,114.9284,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,24,1,13,,
5.1.GR9,-29.54037,114.9277,20180914,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,GR,9,1,13,,
5.2.GR9,-29.54046,114.9278,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,9,1,13,,
5.2.GR24,-29.54017,114.9286,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,24,1,13,,
5.2.GR21,-29.53948,114.9287,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,21,1,13,,
5.2.GR32,-29.53926,114.928,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,32,1,13,,
5.2.GR35,-29.53862,114.9284,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,35,1,13,,
5.2.GR16,-29.53812,114.9285,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,16,1,13,,
5.2.GR1,-29.53716,114.9286,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,1,1,13,,
5.2.GR5,-29.53705,114.9294,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,5,1,13,,
5.2.GR20,-29.53668,114.9296,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,20,1,13,,
5.2.GR13,-29.53563,114.9295,20180915,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,GR,13,1,13,,
5.1.CHin2_34,-29.53743,114.9526,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,34,1,13,,
5.1.CHin2_26,-29.53802,114.9524,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,26,1,13,,
5.1.CHin2_31,-29.53846,114.9527,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,31,1,13,,
5.1.CHin2_29,-29.53855,114.9527,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,29,1,13,,
5.1.CHin2_41,-29.53883,114.9527,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,41,1,13,,
5.1.CHin2_48,-29.53937,114.9514,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,48,1,13,1,
5.1.CHin2_22,-29.53992,114.9504,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,22,1,13,,
5.1.CHin2_11,-29.54092,114.9505,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,11,1,13,,
5.2.CHin2_11,-29.54092,114.9503,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,11,1,13,,
5.2.CHin2_29,-29.54049,114.9503,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,29,1,13,,
5.2.CHin2_22,-29.54004,114.9509,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,22,1,13,,
5.2.CHin2_48,-29.53993,114.9505,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,48,1,13,,
5.2.CHin2_41,-29.53955,114.9511,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,41,1,13,,
5.2.CHin2_23,-29.53939,114.9524,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,23,1,13,,
5.2.CHin2_31,-29.53892,114.9526,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,31,1,13,,
5.2.CHin2_26,-29.53861,114.953,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,26,1,13,,
5.2.CHin2_34,-29.53752,114.9528,20180915,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,2,CHin2,34,1,13,,
5.1.CHin2_33,-29.53501,114.9589,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,33,1,13,,
5.1.CHin2_30,-29.53605,114.9588,20180914,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,5,1,CHin2,30,1,13,,
