Source,Sample,Tag.number,Recapture,Length,Sex,Colour,Damage.old.a,Damage.old.l,Damage.new.a,Damage.new.l,Dead,Individual.remarks,Reproductive.stage,Setose.state,Egg.stage,Moult.stage,Cable.tie,Trip,Date,Outlier,Total.damage,Count,Family,Genus,Species
Dongara.Millers.Masters,8.1.WL30,197859,,57.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197860,,82.3,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197861,,80.1,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197862,,78.1,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197863,,71.2,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,195804,TRUE,69,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197864,,73.4,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197865,,70,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL24,197866,,63.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197867,,75.5,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197868,,90,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197869,,81.1,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197870,,76.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197871,,80.4,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197872,,76.7,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197873,,76.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197874,,75.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197875,,69,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL3,197876,,64.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197877,,77.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197878,,85.4,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197879,,83.4,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,K1964,TRUE,80,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197880,,76.9,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197881,,69,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,K3373,TRUE,90.2,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197882,,76.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197883,,77.4,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197884,,74.4,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197886,,74.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197887,,72.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197888,,67,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197889,,64.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197890,,51.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197891,,47.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197892,,77.3,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197893,,88.2,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,K1653,TRUE,82.2,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,K1219,TRUE,83,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,K2801,TRUE,75.5,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197894,,86.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197895,,72.2,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197896,,75.4,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197897,,80.1,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197898,,74.8,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197899,,77.8,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,K1642,TRUE,83.7,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197900,,78.8,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197901,,79.5,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197902,,75.5,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197903,,78.4,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197905,,74.4,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197906,,78.9,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197907,,72.2,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197908,,71.9,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197909,,66.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197910,,71.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197911,,64.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197912,,72.6,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL10,197913,,51.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197914,,80.8,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197915,,78.8,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197916,,84.7,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197917,,79.9,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197918,,85.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197919,,76.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197920,,73.1,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197921,,78.8,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197922,,78.5,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197923,,69.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197924,,69.6,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197925,,71.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197926,,73.5,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197927,,72.3,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197928,,63,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197929,,63.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197930,,66.5,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL32,197931,,62.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL40,197904,,78.5,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL40,197932,,75.6,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL40,197933,,76,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197934,,90.1,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197935,,74.7,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197936,,81.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197937,,69.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197938,,73.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197939,,76.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197940,,76.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197941,,73.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,K2023,TRUE,69.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197942,,84,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197943,,78.8,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197944,,73.9,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197945,,71.1,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197946,,65.4,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197947,,67.7,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,195453,TRUE,67.6,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197948,,67.7,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197949,,69,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197950,,60,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,198000,,65.4,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197999,,62.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197998,,56.1,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197997,,57.8,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.WL28,197996,,50.3,Female,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4650,,82.2,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4651,,79.1,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4652,,79.9,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4653,,85.6,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4654,,71.4,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4655,,76.5,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4656,,77.7,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4659,,83.5,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4660,,85.5,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4662,,78.3,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4663,,78.8,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4664,,71.9,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN43,K4665,,70.2,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4666,,77.7,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4668,,77.2,Male,Red,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4669,,73.3,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4670,,80,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,197751,,69.9,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4671,,82.8,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4672,,83.3,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4673,,92.1,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4674,,79.9,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4676,,94.5,Male,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4677,,72.2,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
Dongara.Millers.Masters,8.1.CHN26,K4679,,76.5,Female,White,0,0,0,0,Alive,,,,,,FALSE,8,2018-12-03,,0,1,Palinuridae,Panulirus,cygnus
