,Lon,Lat,z
1,112.6,-23.6,2.58E-59
2,112.6077381,-23.6,7.28E-59
3,112.6154762,-23.6,2.04E-58
4,112.6232143,-23.6,5.68E-58
5,112.6309524,-23.6,1.57E-57
6,112.6386905,-23.6,4.28E-57
7,112.6464286,-23.6,1.16E-56
8,112.6541667,-23.6,3.13E-56
9,112.6619048,-23.6,8.35E-56
10,112.6696429,-23.6,2.21E-55
11,112.677381,-23.6,5.80E-55
12,112.685119,-23.6,1.51E-54
13,112.6928571,-23.6,3.90E-54
14,112.7005952,-23.6,9.98E-54
15,112.7083333,-23.6,2.54E-53
16,112.7160714,-23.6,6.39E-53
17,112.7238095,-23.6,1.60E-52
18,112.7315476,-23.6,3.95E-52
19,112.7392857,-23.6,9.72E-52
20,112.7470238,-23.6,2.37E-51
21,112.7547619,-23.6,5.72E-51
22,112.7625,-23.6,1.37E-50
23,112.7702381,-23.6,3.26E-50
24,112.7779762,-23.6,7.70E-50
25,112.7857143,-23.6,1.80E-49
26,112.7934524,-23.6,4.18E-49
27,112.8011905,-23.6,9.61E-49
28,112.8089286,-23.6,2.19E-48
29,112.8166667,-23.6,4.96E-48
30,112.8244048,-23.6,1.11E-47
31,112.8321429,-23.6,2.48E-47
32,112.839881,-23.6,5.48E-47
33,112.847619,-23.6,1.20E-46
34,112.8553571,-23.6,2.60E-46
35,112.8630952,-23.6,5.61E-46
36,112.8708333,-23.6,1.20E-45
37,112.8785714,-23.6,2.54E-45
38,112.8863095,-23.6,5.34E-45
39,112.8940476,-23.6,1.11E-44
40,112.9017857,-23.6,2.30E-44
41,112.9095238,-23.6,4.71E-44
42,112.9172619,-23.6,9.58E-44
43,112.925,-23.6,1.93E-43
44,112.9327381,-23.6,3.87E-43
45,112.9404762,-23.6,7.67E-43
46,112.9482143,-23.6,1.51E-42
47,112.9559524,-23.6,2.94E-42
48,112.9636905,-23.6,5.70E-42
49,112.9714286,-23.6,1.09E-41
50,112.9791667,-23.6,2.08E-41
51,112.9869048,-23.6,3.93E-41
52,112.9946429,-23.6,7.36E-41
53,113.002381,-23.6,1.37E-40
54,113.010119,-23.6,2.52E-40
55,113.0178571,-23.6,4.60E-40
56,113.0255952,-23.6,8.33E-40
57,113.0333333,-23.6,1.50E-39
58,113.0410714,-23.6,2.67E-39
59,113.0488095,-23.6,4.72E-39
60,113.0565476,-23.6,8.27E-39
61,113.0642857,-23.6,1.44E-38
62,113.0720238,-23.6,2.48E-38
