Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Wkw
6.1.CHin2_30,-29.53771,114.953,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,30,1,13,,
6.1.CHin2_4,-29.53742,114.9528,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,4,1,13,,
6.1.CHin2_20,-29.53853,114.9529,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,20,1,13,,
6.1.CHin2_2,-29.53869,114.9524,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,2,1,13,,
6.1.CHin2_1,-29.5395,114.9523,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,1,1,13,,
6.1.CHin2_23,-29.53947,114.9511,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,23,1,13,,
6.1.CHin2_32,-29.53981,114.9503,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,32,1,13,,
6.1.CHin2_49,-29.54038,114.9501,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,49,1,13,,
6.1.CHin2_12,-29.54079,114.9505,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,12,1,13,,
6.2.CHin2_12,-29.54087,114.9504,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,12,1,13,,
6.2.CHin2_49,-29.54087,114.9504,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,49,1,13,,
6.2.CHin2_32,-29.53988,114.9505,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,32,1,13,,
6.2.CHin2_23,-29.53945,114.951,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,23,1,13,,
6.2.CHin2_1,-29.53937,114.9524,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,1,1,13,,
6.2.CHin2_2,-29.53937,114.9524,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,2,1,13,,
6.2.CHin2_20,-29.53849,114.953,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,20,1,13,,
6.2.CHin2_4,-29.53809,114.9524,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,4,1,13,,
6.2.CHin2_30,-29.53809,114.9524,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,30,1,13,,
6.2.CHin2_43,-29.53553,114.9591,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,43,1,13,,
6.2.CHin2_39,-29.53595,114.9587,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,39,1,13,,
6.2.CHin2_41,-29.53649,114.9582,20181107,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin2,41,1,13,,
6.1.CHin2_41,-29.5365,114.9585,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,41,1,13,,
6.1.CHin2_39,-29.53622,114.9588,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,39,1,13,,
6.1.CHin2_43,-29.53552,114.9594,20181106,12:00:00,Cliff Head,Fished,Cliff Head South,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin2,43,1,13,,
6.1.CHin1_38,-29.52413,114.9603,20181106,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin1,38,1,13,,
6.1.CHin1_21,-29.52274,114.9607,20181106,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin1,21,1,13,,
6.1.CHin1_33,-29.52411,114.9602,20181106,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin1,33,1,13,,
6.1.CHin1_19,-29.52411,114.9602,20181106,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin1,19,1,13,,
6.1.CHin1_44,-29.52521,114.9604,20181106,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin1,44,1,13,,
6.1.CHin1_25,-29.52561,114.96,20181106,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHin1,25,1,13,,
6.2.CHin1_25,-29.52561,114.9601,20181107,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin1,25,1,13,,
6.2.CHin1_44,-29.52526,114.9603,20181107,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin1,44,1,13,,
6.2.CHin1_19,-29.52473,114.9604,20181107,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin1,19,1,13,,
6.2.CHin1_33,-29.52434,114.9599,20181107,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin1,33,1,13,,
6.2.CHin1_21,-29.52258,114.9608,20181107,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin1,21,1,13,,
6.2.CHin1_38,-29.52086,114.9605,20181107,12:00:00,Cliff Head,Fished,Cliff Head Mid,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,2,CHin1,38,1,13,,
6.1.CHout2_46,-29.4789,114.9571,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,46,1,13,,1
6.1.CHout2_37,-29.47951,114.957,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,37,1,13,1,
6.1.CHout2_47,-29.47979,114.9569,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,47,1,13,,
6.1.CHout2_6,-29.48015,114.9568,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,6,1,13,1,
6.1.CHout2_36,-29.48042,114.9569,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,36,1,13,,
6.1.CHout2_18,-29.48088,114.9571,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,18,1,13,,
6.1.CHout2_3,-29.48088,114.9571,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,3,1,13,,
6.1.CHout2_40,-29.48189,114.9568,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,40,1,13,,
6.1.CHout2_7,-29.48234,114.957,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,7,1,13,,
6.1.CHout2_8,-29.48275,114.9565,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,8,1,13,,
6.1.CHout2_45,-29.48296,114.9561,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,45,1,13,,
6.1.CHout2_28,-29.48359,114.9561,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,28,1,13,,3
6.1.CHout2_50,-29.48417,114.9557,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,50,,13,,
6.1.CHout2_15,-29.48436,114.9556,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,15,,13,,
6.1.CHout2_34,-29.4848,114.9556,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,34,,13,,
6.1.CHout2_17,-29.48165,114.9594,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,17,1,13,,
6.1.CHout2_11,-29.48209,114.9594,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,11,1,13,,
6.1.CHout2_10,-29.48242,114.9591,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,10,1,13,,2
6.1.CHout2_22,-29.48301,114.959,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,22,1,13,,
6.1.CHout2_29,-29.48359,114.9585,20181106,12:00:00,Cliff Head,Fished,Cliff Head North,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,CHout2,29,1,13,,
6.1.GR26,-29.53542,114.9294,20181106,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,GR,26,1,13,,
6.1.GR24,-29.53668,114.9294,20181106,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,GR,24,1,13,,
6.1.GR35,-29.53689,114.9293,20181106,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,GR,35,1,13,,
6.1.GR5,-29.53705,114.9286,20181106,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,GR,5,1,13,,
6.1.GR16,-29.53796,114.9286,20181106,12:00:00,Golden Ridge,Fished,Golden Ridge,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,6,1,GR,16,1,13,X,
