Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Pot.type,Positionformat
12.1.IR9,-29.3449166666667,114.873583333333,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,9,13,Decimal Minutes
12.1.IR38,-29.3445333333333,114.87405,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,38,13,Decimal Minutes
12.1.IR31,-29.3441333333333,114.8742,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,31,13,Decimal Minutes
12.1.IR48,-29.3436333333333,114.874216666667,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,48,13,Decimal Minutes
12.1.IR35,-29.3432166666667,114.8742,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,35,13,Decimal Minutes
12.1.IR29,-29.3427666666667,114.873933333333,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,29,13,Decimal Minutes
12.1.IR49,-29.3422166666667,114.87385,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,49,13,Decimal Minutes
12.1.IR12,-29.34175,114.873366666667,20190708,12:00:00,Irwin Reef,Fished,Irwin Reef,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,IR,12,13,Decimal Minutes
12.1.WL15,-29.3844666666667,114.885816666667,20190708,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,WL,15,13,Decimal Minutes
12.1.WL33,-29.3841666666667,114.88635,20190708,12:00:00,White Point,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,12,1,WL,33,13,Decimal Minutes
